original,uniformat,equivalent
"Palacios-López, Amparo",Amparo Palacios-López,"['Palacios-López, Amparo']"
H. S. E. Gravelle,H. S. E. Gravelle,['H. S. E. Gravelle']
"Noh, Dong-Woon",Dong-Woon Noh,"['Noh, Dong-Woon']"
"Pugh, Katrina",Katrina Pugh,"['Pugh, Katrina']"
"Lee, Jae Ha",Jae Ha Lee,"['Lee, Jae Ha']"
"Hackl, Franz",Franz Hackl,"['Hackl, Franz']"
"Sahay, Ratna",Ratna Sahay,"['Sahay, Ratna', 'Ratna Sahay']"
"Smith, Donald Mitchell",Donald Mitchell Smith,"['Smith, Donald Mitchell']"
Song Ma,Song Ma,['Song Ma']
Bharat Ramaswami,Bharat Ramaswami,['Bharat Ramaswami']
"Ethier, Wilfred",Wilfred Ethier,"['Ethier, Wilfred']"
"Sonnekalb, Simon",Simon Sonnekalb,"['Sonnekalb, Simon']"
"Wolfson, Michael C",Michael C Wolfson,"['Wolfson, Michael C']"
Erik Bloom,Erik Bloom,['Erik Bloom']
Elizabeth Caucutt,Elizabeth Caucutt,['Elizabeth Caucutt']
Nathan Wilson,Nathan Wilson,['Nathan Wilson']
Peter Siminski,Peter Siminski,['Peter Siminski']
"Santos, Rafael",Rafael Santos,"['Santos, Rafael']"
Luisa Blanco,Luisa Blanco,['Luisa Blanco']
Luis Rivera-Batiz,Luis Rivera-Batiz,['Luis Rivera-Batiz']
"Crafts, Nicholas",Nicholas Crafts,"['Crafts, Nicholas', 'Nicholas Crafts']"
"McAndrews, James J.",James J. McAndrews,"['McAndrews, James J.', 'James J. McAndrews']"
"Vellekoop, Michel",Michel Vellekoop,"['Vellekoop, Michel']"
Klaus Knorr,Klaus Knorr,['Klaus Knorr']
Robert M. Biggs,Robert M. Biggs,['Robert M. Biggs']
"Desruelle, Dominique",Dominique Desruelle,"['Desruelle, Dominique']"
R. F. Fowler,R. F. Fowler,['R. F. Fowler']
"Giannetti, Antoine",Antoine Giannetti,"['Giannetti, Antoine']"
"Stenkrona, Anders",Anders Stenkrona,"['Stenkrona, Anders']"
"He, Jie (Jack)",Jie (Jack) He,"['He, Jie (Jack)', 'Jie (Jack) He']"
"Tuttle, Laura",Laura Tuttle,"['Tuttle, Laura']"
"Schüler, Yves S.",Yves S. Schüler,"['Schüler, Yves S.']"
Jayant V. Ganguli,Jayant V. Ganguli,['Jayant V. Ganguli']
Richard T. Holden,Richard T. Holden,['Richard T. Holden']
"Horton, Susan",Susan Horton,"['Horton, Susan']"
"Wu, Yue",Yue Wu,"['Wu, Yue']"
"Bond, Stephen",Stephen Bond,"['Bond, Stephen', 'Stephen Bond']"
"Snaith, Stuart",Stuart Snaith,"['Snaith, Stuart']"
"Felder, Stefan",Stefan Felder,"['Felder, Stefan']"
Charles Hokayem,Charles Hokayem,['Charles Hokayem']
"Rahbek, Anders",Anders Rahbek,"['Rahbek, Anders', 'Anders Rahbek']"
"Keogh, Gary",Gary Keogh,"['Keogh, Gary']"
"Hunter, Kenneth R",Kenneth R Hunter,"['Hunter, Kenneth R']"
"Leftwich, Richard W",Richard W Leftwich,"['Leftwich, Richard W', 'Leftwich, Richard W.']"
"Handy, L J",L J Handy,"['Handy, L J']"
A. R. Tremayne,A. R. Tremayne,['A. R. Tremayne']
"Botero, German",German Botero,"['Botero, German']"
"Sah, Raaj Kumar",Raaj Kumar Sah,"['Sah, Raaj Kumar', 'Raaj Kumar Sah']"
"Sandberg, Carl M",Carl M Sandberg,"['Sandberg, Carl M']"
Brian A. Jacob,Brian A. Jacob,"['Brian A. Jacob', 'Brian A Jacob', 'Jacob, Brian A.']"
Matthias Weber,Matthias Weber,['Matthias Weber']
"Matallín-Sáez, Juan Carlos",Juan Carlos Matallín-Sáez,"['Matallín-Sáez, Juan Carlos']"
"Maniquet, Francois",Francois Maniquet,"['Maniquet, Francois', 'Maniquet, François', 'François Maniquet']"
"Ascheberg, Marius",Marius Ascheberg,"['Ascheberg, Marius']"
Peter S. Menell,Peter S. Menell,['Peter S. Menell']
"Honig, Adam",Adam Honig,"['Honig, Adam']"
"Nilssen, Tore",Tore Nilssen,"['Nilssen, Tore']"
Alfred G. Pundt,Alfred G. Pundt,['Alfred G. Pundt']
Ismir Mulalic,Ismir Mulalic,['Ismir Mulalic']
J. R. Hicks,J. R. Hicks,['J. R. Hicks']
"Heyes, Anthony G.",Anthony G. Heyes,"['Heyes, Anthony G.']"
"Jain, L. R.",L. R. Jain,"['Jain, L. R.']"
"Showalter, Dean M",Dean M Showalter,"['Showalter, Dean M']"
"Clarke, Frank H",Frank H Clarke,"['Clarke, Frank H']"
"McCabe, B. P. M.",B. P. M. McCabe,"['McCabe, B. P. M.']"
"Jonas, A. B.",A. B. Jonas,"['Jonas, A. B.']"
Michael Walton,Michael Walton,['Michael Walton']
"Benet, Bruce A",Bruce A Benet,"['Benet, Bruce A', 'Benet, Bruce A.']"
"Kowalczyk, Carsten",Carsten Kowalczyk,"['Kowalczyk, Carsten']"
"Fuentes-Albero, Cristina",Cristina Fuentes-Albero,"['Fuentes-Albero, Cristina']"
Steffen Meyer,Steffen Meyer,['Steffen Meyer']
"Huizinga, Harry",Harry Huizinga,"['Huizinga, Harry', 'Harry Huizinga']"
"Xie, Wen Zhi",Wen Zhi Xie,"['Xie, Wen Zhi']"
"Ruud, Paul",Paul Ruud,"['Ruud, Paul']"
"Dickie, Mark",Mark Dickie,"['Dickie, Mark']"
"Morrow, Daniel T",Daniel T Morrow,"['Morrow, Daniel T']"
"Clark, Derek J",Derek J Clark,"['Clark, Derek J']"
Makoto Yano,Makoto Yano,"['Makoto Yano', 'Yano, Makoto']"
"Caglio, Cecilia",Cecilia Caglio,"['Caglio, Cecilia']"
"Westfield, Fred M",Fred M Westfield,"['Westfield, Fred M', 'Fred M. Westfield']"
Kai-Uwe Kuuhn,Kai-Uwe Kuuhn,['Kai-Uwe Kuuhn']
"Iwashita, T.",T. Iwashita,"['Iwashita, T.']"
"D'Antonio, Louis J",Louis J D'Antonio,"[""D'Antonio, Louis J""]"
"Schluter, Gerald E",Gerald E Schluter,"['Schluter, Gerald E']"
"Knight*, Brian",Brian Knight*,"['Knight*, Brian', 'Knight, Brian', 'Brian Knight']"
"English, Mary",Mary English,"['English, Mary']"
"Romero-Avila, Diego",Diego Romero-Avila,"['Romero-Avila, Diego']"
Xiaozheng Wang,Xiaozheng Wang,['Xiaozheng Wang']
Jeffrey C. Williams,Jeffrey C. Williams,"['Jeffrey C. Williams', 'Williams, Jeffrey C']"
R. D. Milbourne,R. D. Milbourne,['R. D. Milbourne']
"Doorley, Karina",Karina Doorley,"['Doorley, Karina']"
"de Jong, Abe",Abe de Jong,"['de Jong, Abe']"
"Orea, Luis",Luis Orea,"['Orea, Luis']"
"Tsai, Ying-Ju",Ying-Ju Tsai,"['Tsai, Ying-Ju']"
"Yaari, Menahem",Menahem Yaari,"['Yaari, Menahem']"
Chris Starmer,Chris Starmer,"['Chris Starmer', 'Starmer, Chris']"
"Thomas, Vinod",Vinod Thomas,"['Thomas, Vinod']"
"Öztekin, Özde",Özde Öztekin,"['Öztekin, Özde']"
Priyanka Pandey,Priyanka Pandey,"['Priyanka Pandey', 'Pandey, Priyanka']"
D. V. T. Bear,D. V. T. Bear,['D. V. T. Bear']
"Claassen, Emil-Maria",Emil-Maria Claassen,"['Claassen, Emil-Maria']"
"Tashjian, Elizabeth",Elizabeth Tashjian,"['Tashjian, Elizabeth']"
George Bredon,George Bredon,['George Bredon']
"Wo?ny, ?ukasz",?ukasz Wo?ny,"['Wo?ny, ?ukasz']"
Samuel Marden,Samuel Marden,['Samuel Marden']
"de Pablo, Juan Carlos",Juan Carlos de Pablo,"['de Pablo, Juan Carlos']"
"Di Giorgio, Giorgio",Giorgio Di Giorgio,"['Di Giorgio, Giorgio']"
"Koczy, Laszlo A.",Laszlo A. Koczy,"['Koczy, Laszlo A.']"
"Stratton, Leslie S",Leslie S Stratton,"['Stratton, Leslie S', 'Leslie S. Stratton']"
"Legey, L.",L. Legey,"['Legey, L.']"
"Chen, Long",Long Chen,"['Chen, Long', 'Long Chen']"
"Maruta, Toshimasa",Toshimasa Maruta,"['Maruta, Toshimasa']"
David De Angelis,David De Angelis,['David De Angelis']
"Dávila, J.",J. Dávila,"['Dávila, J.']"
Christiane Baumeister,Christiane Baumeister,['Christiane Baumeister']
"Hansen, Bent",Bent Hansen,"['Hansen, Bent', 'Bent Hansen']"
"Cardell, N Scott, et al",N Scott Cardell,"['Cardell, N Scott, et al']"
"Xepapadeas, A.",A. Xepapadeas,"['Xepapadeas, A.']"
William C. Hunter,William C. Hunter,"['William C. Hunter', 'Hunter, William C.']"
"Glassman, Debra",Debra Glassman,"['Glassman, Debra']"
"Amira, Khaled",Khaled Amira,"['Amira, Khaled']"
"Favilukis, Jack",Jack Favilukis,"['Favilukis, Jack', 'Jack Favilukis']"
"Seneca, J J",J J Seneca,"['Seneca, J J']"
"Lambsdorff, Johann Graf",Johann Graf Lambsdorff,"['Lambsdorff, Johann Graf']"
Katherine A. Spilde,Katherine A. Spilde,['Katherine A. Spilde']
Erwin Diewert,Erwin Diewert,['Erwin Diewert']
Oindrila De,Oindrila De,['Oindrila De']
"Rockafellar, R. Tyrrell",R. Tyrrell Rockafellar,"['Rockafellar, R. Tyrrell', 'Tyrrell Rockafellar, R.']"
T. Haavelmo,T. Haavelmo,['T. Haavelmo']
Esteban M. Aucejo,Esteban M. Aucejo,['Esteban M. Aucejo']
"Burns, Terry",Terry Burns,"['Burns, Terry']"
Rasmus J?rgensen,Rasmus J?rgensen,['Rasmus J?rgensen']
Andrew M. Watson,Andrew M. Watson,['Andrew M. Watson']
Leslie Fishman,Leslie Fishman,['Leslie Fishman']
Yuichi Noguchi,Yuichi Noguchi,['Yuichi Noguchi']
"Fung, Joseph K.W.",Joseph K.W. Fung,"['Fung, Joseph K.W.']"
"Spavins, Thomas",Thomas Spavins,"['Spavins, Thomas']"
"Orlowski, Lucjan T.",Lucjan T. Orlowski,"['Orlowski, Lucjan T.']"
"Bhattacharya, Gautam",Gautam Bhattacharya,"['Bhattacharya, Gautam']"
"Karacaovali, Baybars",Baybars Karacaovali,"['Karacaovali, Baybars']"
Lan Zhang,Lan Zhang,"['Lan Zhang', 'Zhang, Lan']"
"Aktan, Okan H.",Okan H. Aktan,"['Aktan, Okan H.']"
Pierre Collin?Dufresne,Pierre Collin?Dufresne,['Pierre Collin?Dufresne']
"Naylor, Thomas H",Thomas H Naylor,"['Naylor, Thomas H']"
"Lee, H. S.",H. S. Lee,"['Lee, H. S.']"
"Fricke, Christoph",Christoph Fricke,"['Fricke, Christoph']"
"Swamy, P A V B",P A V B Swamy,"['Swamy, P A V B']"
"Sneessens, Henri R.",Henri R. Sneessens,"['Sneessens, Henri R.']"
Caillaud Bernard,Caillaud Bernard,['Caillaud Bernard']
"Zhao, Guiqin",Guiqin Zhao,"['Zhao, Guiqin']"
"Ivanov, Vladimir I.",Vladimir I. Ivanov,"['Ivanov, Vladimir I.']"
Harold H. Wein,Harold H. Wein,['Harold H. Wein']
"Sahling, Leonard G",Leonard G Sahling,"['Sahling, Leonard G']"
"Molina, Danielken",Danielken Molina,"['Molina, Danielken']"
P.H. Schneider,P.H. Schneider,['P.H. Schneider']
Chae Suchan,Chae Suchan,['Chae Suchan']
"Nagar, A L",A L Nagar,"['Nagar, A L']"
"Pollakowski, Henry O",Henry O Pollakowski,"['Pollakowski, Henry O']"
J. A. Hobson,J. A. Hobson,['J. A. Hobson']
"Soana, Maria-Gaia",Maria-Gaia Soana,"['Soana, Maria-Gaia']"
"Tschantz, Steven",Steven Tschantz,"['Tschantz, Steven']"
E. Kleiman,E. Kleiman,['E. Kleiman']
Mayank Raturi,Mayank Raturi,['Mayank Raturi']
Zarek C. Brot-Goldberg,Zarek C. Brot-Goldberg,['Zarek C. Brot-Goldberg']
"Mermelstein, David",David Mermelstein,"['Mermelstein, David']"
"Pursell, Garry G.",Garry G. Pursell,"['Pursell, Garry G.']"
Dennis P. Quinn,Dennis P. Quinn,['Dennis P. Quinn']
"Camdessus, Michel",Michel Camdessus,"['Camdessus, Michel']"
William Lee,William Lee,"['William Lee', 'Lee, William']"
Nancy Luke,Nancy Luke,"['Nancy Luke', 'Luke, Nancy']"
"Samwick, Andrew A.",Andrew A. Samwick,"['Samwick, Andrew A.', 'Andrew A. Samwick']"
"Rakowski, James J",James J Rakowski,"['Rakowski, James J']"
"Clarke, Andrea",Andrea Clarke,"['Clarke, Andrea']"
"Blumenthal, Marsha",Marsha Blumenthal,"['Blumenthal, Marsha']"
Dotan Leshem,Dotan Leshem,['Dotan Leshem']
"Alkan, Ahmet",Ahmet Alkan,"['Alkan, Ahmet']"
"Gerken, Egbert",Egbert Gerken,"['Gerken, Egbert']"
"Bellemare, Marc F.",Marc F. Bellemare,"['Bellemare, Marc F.']"
Tim Ganser,Tim Ganser,['Tim Ganser']
"Mercer, Lloyd J",Lloyd J Mercer,"['Mercer, Lloyd J']"
O. Lange,O. Lange,['O. Lange']
Julia Porter Liebeskind,Julia Porter Liebeskind,['Julia Porter Liebeskind']
"Geweke, John F.",John F. Geweke,"['Geweke, John F.', 'Geweke, John F']"
"Scholtes, Stefan",Stefan Scholtes,"['Scholtes, Stefan']"
Armando Levy,Armando Levy,['Armando Levy']
"Tchuindjo, Leonard",Leonard Tchuindjo,"['Tchuindjo, Leonard']"
"Kawasaki, Yoshinori",Yoshinori Kawasaki,"['Kawasaki, Yoshinori']"
"Belot, François",François Belot,"['Belot, François']"
Charles Reitell,Charles Reitell,['Charles Reitell']
"Brock, W. A.",W. A. Brock,"['Brock, W. A.', 'W. A. Brock']"
"Hasegawa, Hikaru",Hikaru Hasegawa,"['Hasegawa, Hikaru']"
Jiahui Wang,Jiahui Wang,['Jiahui Wang']
R. C. Lipsey,R. C. Lipsey,"['R. C. Lipsey', 'R. G. Lipsey']"
"Phani, B.V.",B.V. Phani,"['Phani, B.V.']"
Werner Baer,Werner Baer,"['Werner Baer', 'Baer, Werner']"
Henrik J. Kleven,Henrik J. Kleven,['Henrik J. Kleven']
Tanguy Ypersele,Tanguy Ypersele,['Tanguy Ypersele']
"Rawlings, Samantha B.",Samantha B. Rawlings,"['Rawlings, Samantha B.']"
Felix Reichling,Felix Reichling,['Felix Reichling']
Abram L. Harris,Abram L. Harris,['Abram L. Harris']
"Cardellichio, Peter A",Peter A Cardellichio,"['Cardellichio, Peter A']"
Elmer Hartzel,Elmer Hartzel,['Elmer Hartzel']
"Chang, Hsihui",Hsihui Chang,"['Chang, Hsihui']"
"Dastidar, Krishnendu Ghosh",Krishnendu Ghosh Dastidar,"['Dastidar, Krishnendu Ghosh']"
Huaizhi Chen,Huaizhi Chen,['Huaizhi Chen']
"Brown, Randall S",Randall S Brown,"['Brown, Randall S']"
"Preto, Miguel Torres",Miguel Torres Preto,"['Preto, Miguel Torres']"
Salvador Valdés-Prieto,Salvador Valdés-Prieto,['Salvador Valdés-Prieto']
"Pistolesi, Nicolas",Nicolas Pistolesi,"['Pistolesi, Nicolas']"
"Stella, Attilio L.",Attilio L. Stella,"['Stella, Attilio L.']"
Enrique Seira,Enrique Seira,"['Enrique Seira', 'Seira, Enrique']"
"Easaw, Joshy",Joshy Easaw,"['Easaw, Joshy']"
Julien Sauvagnat,Julien Sauvagnat,['Julien Sauvagnat']
"DiTraglia, Francis J.",Francis J. DiTraglia,"['DiTraglia, Francis J.']"
Jonathan E. Alevy,Jonathan E. Alevy,['Jonathan E. Alevy']
"Breschi, Stefano",Stefano Breschi,"['Breschi, Stefano']"
"Spiegel, M.",M. Spiegel,"['Spiegel, M.']"
"Masuda, Etsusuke",Etsusuke Masuda,"['Masuda, Etsusuke']"
"Sebastiani, Michael",Michael Sebastiani,"['Sebastiani, Michael', 'Michael Sebastiani']"
"Noe, Nicholas N",Nicholas N Noe,"['Noe, Nicholas N']"
Christopher L. Foote,Christopher L. Foote,['Christopher L. Foote']
"de Goeij, Peter",Peter de Goeij,"['de Goeij, Peter']"
"Gao, Jiti",Jiti Gao,"['Gao, Jiti']"
"Peng, Bin",Bin Peng,"['Peng, Bin']"
"Hanson, Donald A",Donald A Hanson,"['Hanson, Donald A', 'Hanson, Donald A.']"
"Chase, Samuel B, Jr",Samuel B Chase,"['Chase, Samuel B, Jr']"
"Chen, Maggie X.",Maggie X. Chen,"['Chen, Maggie X.']"
William M. Getry,William M. Getry,['William M. Getry']
"van der Ploeg, Rick",Rick van der Ploeg,"['van der Ploeg, Rick']"
Sidney Webb,Sidney Webb,['Sidney Webb']
"Oster, Emily",Emily Oster,"['Oster, Emily', 'Emily Oster']"
Laurina Zhang,Laurina Zhang,['Laurina Zhang']
"Moreno, David",David Moreno,"['Moreno, David']"
"Kuhnau, David B",David B Kuhnau,"['Kuhnau, David B']"
"Pauls, B. Dianne",B. Dianne Pauls,"['Pauls, B. Dianne']"
John E. Brindley,John E. Brindley,['John E. Brindley']
"Arteche, Josu",Josu Arteche,"['Arteche, Josu']"
"Bohman, Mats",Mats Bohman,"['Bohman, Mats']"
"Döbeli, Barbara",Barbara Döbeli,"['Döbeli, Barbara']"
"Tang, Hongfei",Hongfei Tang,"['Tang, Hongfei']"
Sinan Tan,Sinan Tan,"['Sinan Tan', 'Tan, Sinan']"
"Weiss, Randall D",Randall D Weiss,"['Weiss, Randall D']"
"García-Belenguer, Fernando",Fernando García-Belenguer,"['García-Belenguer, Fernando']"
"Favero, C.",C. Favero,"['Favero, C.']"
"Huang, Yuh-ching",Yuh-ching Huang,"['Huang, Yuh-ching']"
"Lynde, Catherine",Catherine Lynde,"['Lynde, Catherine']"
Thomas Noll,Thomas Noll,['Thomas Noll']
Minh Huynh,Minh Huynh,['Minh Huynh']
"Tellez, Luis",Luis Tellez,"['Tellez, Luis']"
"Shen, I-Ling",I-Ling Shen,"['Shen, I-Ling']"
"Weiserbs, Daniel",Daniel Weiserbs,"['Weiserbs, Daniel']"
"Velasco, Carlos",Carlos Velasco,"['Velasco, Carlos', 'Carlos Velasco']"
Mary O'Mahoney,Mary O'Mahoney,"[""Mary O'Mahoney""]"
"Hughes, Gordon",Gordon Hughes,"['Hughes, Gordon']"
Eduardo Perez-Richet,Eduardo Perez-Richet,['Eduardo Perez-Richet']
"Petrasek, Lubomir",Lubomir Petrasek,"['Petrasek, Lubomir']"
"Yagi, Nobuyuki",Nobuyuki Yagi,"['Yagi, Nobuyuki']"
"Hofmann, Boris",Boris Hofmann,"['Hofmann, Boris']"
"Wegge, Leon",Leon Wegge,"['Wegge, Leon']"
"Laband, David N.",David N. Laband,"['Laband, David N.', 'David N. Laband', 'Laband, David N']"
"Magnus, J.R.Jan R.",J.R.Jan R. Magnus,"['Magnus, J.R.Jan R.']"
"Dai, Na",Na Dai,"['Dai, Na']"
John K. Whitaker,John K. Whitaker,"['John K. Whitaker', 'Whitaker, John K']"
"Lu, Jun",Jun Lu,"['Lu, Jun']"
"Feigenbaum, Bernard",Bernard Feigenbaum,"['Feigenbaum, Bernard']"
William M. Howard,William M. Howard,['William M. Howard']
"Wieandt, Axel",Axel Wieandt,"['Wieandt, Axel']"
"Braithwait, Steven D",Steven D Braithwait,"['Braithwait, Steven D']"
"Craigwell, Roland C.",Roland C. Craigwell,"['Craigwell, Roland C.']"
"Solomon, Elinor Harris",Elinor Harris Solomon,"['Solomon, Elinor Harris']"
J. C. Hubbard,J. C. Hubbard,['J. C. Hubbard']
Hans P. Neisser,Hans P. Neisser,['Hans P. Neisser']
W. Glenn Campbell,W. Glenn Campbell,['W. Glenn Campbell']
"Thygessen, Niels",Niels Thygessen,"['Thygessen, Niels']"
"Shirrell, Stuart",Stuart Shirrell,"['Shirrell, Stuart']"
"Natarajan, Ashok",Ashok Natarajan,"['Natarajan, Ashok']"
"Aguiar, Victor H.",Victor H. Aguiar,"['Aguiar, Victor H.']"
M. Dessauer,M. Dessauer,['M. Dessauer']
"Berthelon, Matias E.",Matias E. Berthelon,"['Berthelon, Matias E.']"
Benjamin Graham,Benjamin Graham,['Benjamin Graham']
"Wolfstetter, E",E Wolfstetter,"['Wolfstetter, E']"
"Hong, Han",Han Hong,"['Hong, Han', 'Han Hong']"
"Srivastava, M. S.",M. S. Srivastava,"['Srivastava, M. S.']"
"de Boissieu, Christian",Christian de Boissieu,"['de Boissieu, Christian']"
"Zampelli, Ernest M.",Ernest M. Zampelli,"['Zampelli, Ernest M.', 'Zampelli, Ernest M']"
"Ioannidou, Vasso",Vasso Ioannidou,"['Ioannidou, Vasso', 'Vasso Ioannidou']"
"Goldberg, Michael",Michael Goldberg,"['Goldberg, Michael']"
"Anant, T.C.A.",T.C.A. Anant,"['Anant, T.C.A.']"
"Wilcox, William",William Wilcox,"['Wilcox, William']"
"Yu, Zhi",Zhi Yu,"['Yu, Zhi']"
Harold M. Levinson,Harold M. Levinson,['Harold M. Levinson']
"Kemna, A. G. Z.",A. G. Z. Kemna,"['Kemna, A. G. Z.']"
Stylianos Perrakis,Stylianos Perrakis,"['Stylianos Perrakis', 'Perrakis, Stylianos']"
"Mentink, Albert",Albert Mentink,"['Mentink, Albert']"
"Gehrig, Thomas",Thomas Gehrig,"['Gehrig, Thomas']"
"Jafry, Yusuf",Yusuf Jafry,"['Jafry, Yusuf']"
Paul E. Carrillo,Paul E. Carrillo,"['Paul E. Carrillo', 'Carrillo, Paul E.']"
"Peretto, Pietro F.",Pietro F. Peretto,"['Peretto, Pietro F.', 'Peretto, Pietro F']"
Fiona Scott Morton,Fiona Scott Morton,['Fiona Scott Morton']
"Heertje, A",A Heertje,"['Heertje, A']"
K. Schmidt-Hebbel,K. Schmidt-Hebbel,['K. Schmidt-Hebbel']
"Mercader-Prats, Magda",Magda Mercader-Prats,"['Mercader-Prats, Magda']"
"Diamantaras, Dimitrios",Dimitrios Diamantaras,"['Diamantaras, Dimitrios']"
"Niccoli, Alberto",Alberto Niccoli,"['Niccoli, Alberto']"
Alexander M. Bing,Alexander M. Bing,['Alexander M. Bing']
Ça?lar Özden,Ça?lar Özden,"['Ça?lar Özden', 'Özden, Çaglar']"
"Muckley, Cal B.",Cal B. Muckley,"['Muckley, Cal B.']"
Joshua S. Graff Zivin,Joshua S. Graff Zivin,['Joshua S. Graff Zivin']
Erwan Quintin,Erwan Quintin,"['Erwan Quintin', 'Quintin, Erwan']"
"Knotek II, Edward S.",Edward S. Knotek II,"['Knotek II, Edward S.']"
Sumon Majumdar,Sumon Majumdar,"['Sumon Majumdar', 'Majumdar, Sumon']"
Dixit Avinash,Dixit Avinash,['Dixit Avinash']
"Melenberg, Bertrand",Bertrand Melenberg,"['Melenberg, Bertrand']"
"Nicholson, Walter",Walter Nicholson,"['Nicholson, Walter', 'Walter Nicholson']"
"Thomas, Alban",Alban Thomas,"['Thomas, Alban']"
Chanjin Chung,Chanjin Chung,['Chanjin Chung']
Duncan Simester,Duncan Simester,"['Duncan Simester', 'Simester, Duncan']"
"Yang, Lisa (Zongfei)",Lisa (Zongfei) Yang,"['Yang, Lisa (Zongfei)']"
"Afriat, S N",S N Afriat,"['Afriat, S N']"
Campbell Donald E.,Campbell Donald E.,['Campbell Donald E.']
"Hussey, Robert",Robert Hussey,"['Hussey, Robert']"
John Roberts,John Roberts,"['John Roberts', 'Roberts, John']"
"Trapani, John III",John III Trapani,"['Trapani, John III']"
"Franks, J R",J R Franks,"['Franks, J R']"
Frits C. R. Spieksma,Frits C. R. Spieksma,['Frits C. R. Spieksma']
"Holzman, Ron",Ron Holzman,"['Holzman, Ron', 'Ron Holzman']"
"Yao, Yi-Ching",Yi-Ching Yao,"['Yao, Yi-Ching']"
"Vaage, Kjell",Kjell Vaage,"['Vaage, Kjell']"
Giancarlo Corsetti,Giancarlo Corsetti,"['Giancarlo Corsetti', 'Corsetti, Giancarlo']"
"Bilinski, Pawel",Pawel Bilinski,"['Bilinski, Pawel']"
"Jayet, H.",H. Jayet,"['Jayet, H.']"
Sílvia Gonçalves,Sílvia Gonçalves,"['Sílvia Gonçalves', 'Gonçalves, Sílvia']"
Robert B. Pettengill,Robert B. Pettengill,['Robert B. Pettengill']
"Humphreys, Brad R.",Brad R. Humphreys,"['Humphreys, Brad R.']"
"Kuksov, Dmitri",Dmitri Kuksov,"['Kuksov, Dmitri']"
Vasco Cúrdia,Vasco Cúrdia,"['Vasco Cúrdia', 'Cúrdia, Vasco']"
"Jakubek, Marcin",Marcin Jakubek,"['Jakubek, Marcin']"
"Agell, Jonas",Jonas Agell,"['Agell, Jonas', 'Jonas Agell']"
"Tongurai, Jittima",Jittima Tongurai,"['Tongurai, Jittima']"
Talia Bar,Talia Bar,['Talia Bar']
"Wang, Teng",Teng Wang,"['Wang, Teng']"
"Mantripragada, K",K Mantripragada,"['Mantripragada, K']"
"Homburg, Stefan",Stefan Homburg,"['Homburg, Stefan']"
"Hosek, James R",James R Hosek,"['Hosek, James R']"
"Zhao, Xueyan",Xueyan Zhao,"['Zhao, Xueyan']"
Gilberto Marcheggiano,Gilberto Marcheggiano,['Gilberto Marcheggiano']
Michael Naef,Michael Naef,['Michael Naef']
"Heid, Frank",Frank Heid,"['Heid, Frank']"
George E. Putnam,George E. Putnam,['George E. Putnam']
Robert Tamura,Robert Tamura,"['Robert Tamura', 'Tamura, Robert']"
"Arad, Ruth W.",Ruth W. Arad,"['Arad, Ruth W.']"
María F. Prada,María F. Prada,['María F. Prada']
Edwin F. Ulveling,Edwin F. Ulveling,['Edwin F. Ulveling']
E. Benjamin Andrews,E. Benjamin Andrews,['E. Benjamin Andrews']
William H. Wynne,William H. Wynne,['William H. Wynne']
Henri Denis,Henri Denis,['Henri Denis']
"Schilizzi, Steven G.M.",Steven G.M. Schilizzi,"['Schilizzi, Steven G.M.']"
Alexis Jacquemin,Alexis Jacquemin,"['Alexis Jacquemin', 'Jacquemin, Alexis']"
"Ciccolo, John",John Ciccolo,"['Ciccolo, John']"
J. Mirrlees,J. Mirrlees,['J. Mirrlees']
"Goldberg, Pinelopi Koujianou",Pinelopi Koujianou Goldberg,"['Goldberg, Pinelopi Koujianou', 'Pinelopi Koujianou Goldberg', 'Koujianou Goldberg, Pinelopi']"
Donald Shelby,Donald Shelby,['Donald Shelby']
"Mehta, Dileep R",Dileep R Mehta,"['Mehta, Dileep R', 'Mehta, Dileep R.']"
"Collie, David R",David R Collie,"['Collie, David R', 'Collie, David R.']"
"Jobst, Andreas",Andreas Jobst,"['Jobst, Andreas']"
"Adams, Walter",Walter Adams,"['Adams, Walter', 'Walter Adams']"
"Caulfield, Tristan",Tristan Caulfield,"['Caulfield, Tristan']"
"Kulshreshtha, Praveen",Praveen Kulshreshtha,"['Kulshreshtha, Praveen']"
"Hebous, Shafik",Shafik Hebous,"['Hebous, Shafik']"
Jacques F. Lesourne,Jacques F. Lesourne,['Jacques F. Lesourne']
"Kroft, Kory",Kory Kroft,"['Kroft, Kory', 'Kory Kroft']"
John Farmer,John Farmer,['John Farmer']
"Guntermann, Karl L",Karl L Guntermann,"['Guntermann, Karl L']"
Kazushige Shimpo,Kazushige Shimpo,['Kazushige Shimpo']
"Coate, Stephen",Stephen Coate,"['Coate, Stephen', 'Stephen Coate']"
"Ogura, Yoshiaki",Yoshiaki Ogura,"['Ogura, Yoshiaki']"
"Tehranaian, Hassan",Hassan Tehranaian,"['Tehranaian, Hassan']"
"Kamat, Samir",Samir Kamat,"['Kamat, Samir']"
Holger Sieg,Holger Sieg,"['Holger Sieg', 'Sieg, Holger']"
"Fraser, Stuart",Stuart Fraser,"['Fraser, Stuart']"
"Yeh, Jin-Huei",Jin-Huei Yeh,"['Yeh, Jin-Huei']"
"Chang, Peter",Peter Chang,"['Chang, Peter']"
"Harris, Robert",Robert Harris,"['Harris, Robert']"
