original,uniformat,equivalent
"Galeotti, Andrea",Andrea Galeotti,"['Galeotti, Andrea', 'Andrea Galeotti']"
David T Ellwood,David T Ellwood,"['David T Ellwood', 'Ellwood, David T', 'David T. Ellwood']"
"Smidt, S",S Smidt,"['Smidt, S']"
"Tracy, Joseph S",Joseph S Tracy,"['Tracy, Joseph S']"
"Brunello, Giorgio",Giorgio Brunello,"['Brunello, Giorgio', 'Giorgio Brunello']"
"Cukierman, A",A Cukierman,"['Cukierman, A']"
Gunnar Bårdsen,Gunnar Bårdsen,['Gunnar Bårdsen']
"Falco, Paolo",Paolo Falco,"['Falco, Paolo']"
Michael R. Roberts,Michael R. Roberts,"['Michael R. Roberts', 'Roberts, Michael R.', 'Michael J. Roberts']"
"Pagan, A. R.",A. R. Pagan,"['Pagan, A. R.', 'A. R. Pagan']"
Robert Solomon,Robert Solomon,"['Robert Solomon', 'Solomon, Robert']"
Mitali Das,Mitali Das,"['Mitali Das', 'Das, Mitali']"
"Cunningham, Jim",Jim Cunningham,"['Cunningham, Jim']"
"Bijwaard, Govert E.",Govert E. Bijwaard,"['Bijwaard, Govert E.', 'Govert E. Bijwaard']"
"Paal, Beatrix",Beatrix Paal,"['Paal, Beatrix']"
"Esteban, Joan",Joan Esteban,"['Esteban, Joan', 'Joan Esteban']"
"Trockel, Walter",Walter Trockel,"['Trockel, Walter', 'Walter Trockel']"
Matteo Paradisi,Matteo Paradisi,['Matteo Paradisi']
"Rees, Albert",Albert Rees,"['Rees, Albert', 'Albert Rees']"
"Phaup, Marvin",Marvin Phaup,"['Phaup, Marvin']"
"Boudjellaba, Hafida",Hafida Boudjellaba,"['Boudjellaba, Hafida']"
"Zenginobuz, Ünal",Ünal Zenginobuz,"['Zenginobuz, Ünal']"
"Romanov, Dmitri",Dmitri Romanov,"['Romanov, Dmitri', 'Dmitri Romanov']"
Emiel Maasland,Emiel Maasland,['Emiel Maasland']
"Hewins, Robin D.",Robin D. Hewins,"['Hewins, Robin D.']"
"Garbade, Kenneth D",Kenneth D Garbade,"['Garbade, Kenneth D', 'Garbade, Kenneth D.']"
Donald H. Taylor,Donald H. Taylor,['Donald H. Taylor']
"Weinberg, Alvin M",Alvin M Weinberg,"['Weinberg, Alvin M']"
Stefan Zeume,Stefan Zeume,['Stefan Zeume']
"Pazner, Elisha A.",Elisha A. Pazner,"['Pazner, Elisha A.', 'Pazner, Elisha A', 'Elisha A. Pazner']"
"Vozlyublennaia, Nadia",Nadia Vozlyublennaia,"['Vozlyublennaia, Nadia']"
"Harris, Lawrence E.",Lawrence E. Harris,"['Harris, Lawrence E.', 'Lawrence E. Harris', 'Harris, Lawrence E']"
Lyle W. Cooper,Lyle W. Cooper,['Lyle W. Cooper']
"Kubler, F.",F. Kubler,"['Kubler, F.']"
"Hirukawa, Masayuki",Masayuki Hirukawa,"['Hirukawa, Masayuki']"
"Arthur, W Brian",W Brian Arthur,"['Arthur, W Brian', 'W. Brian Arthur']"
"Bhandari, Jagdeep S.",Jagdeep S. Bhandari,"['Bhandari, Jagdeep S.', 'Jagdeep S. Bhandari']"
"Wu, Eliza",Eliza Wu,"['Wu, Eliza']"
Tim Wu,Tim Wu,['Tim Wu']
"Jarmin, Ron S.",Ron S. Jarmin,"['Jarmin, Ron S.', 'Ron S. Jarmin']"
"Seade, J. K.",J. K. Seade,"['Seade, J. K.']"
"Smith Jr., Clifford W.",Clifford W. Smith Jr.,"['Smith Jr., Clifford W.']"
"Coulson, N Edward, et al",N Edward Coulson,"['Coulson, N Edward, et al', 'N. Edward Coulson', 'Coulson, N Edward']"
"Boczar, Gregory E",Gregory E Boczar,"['Boczar, Gregory E']"
"Xefteris, Dimitrios",Dimitrios Xefteris,"['Xefteris, Dimitrios']"
Glenn D. Rudebusch,Glenn D. Rudebusch,"['Glenn D. Rudebusch', 'GlennD. Rudebusch', 'Rudebusch, Glenn D.', 'Rudebusch, Glenn D']"
David E. M Sappington,David E. M Sappington,"['David E. M Sappington', 'Sappington, David E.M.', 'David E.M. Sappington', 'Sappington, David E. M.', 'Sappington, David E M', 'David E. M. Sappington']"
"Prabhala, Nagpurnanand R.",Nagpurnanand R. Prabhala,"['Prabhala, Nagpurnanand R.', 'Nagpurnanand R. Prabhala', 'Prabhala, Nagpurnanand R']"
Chiara Rosazza Bondibene,Chiara Rosazza Bondibene,['Chiara Rosazza Bondibene']
Frank L. Kidner,Frank L. Kidner,['Frank L. Kidner']
Tomas Dvorak,Tomas Dvorak,"['Tomas Dvorak', 'Dvorak, Tomas']"
"Becker, William E, Jr",William E Becker,"['Becker, William E, Jr', 'Becker, William E', 'William E. Becker']"
"Baudier, Edmond",Edmond Baudier,"['Baudier, Edmond']"
"Akkina, K R",K R Akkina,"['Akkina, K R']"
"Green, Richard J",Richard J Green,"['Green, Richard J', 'Green, Richard D', 'Green, Richard C']"
