original,uniformat,equivalent
"Hurn, A.S.",A.S. Hurn,"['Hurn, A.S.']"
"Chari, A.V.",A.V. Chari,"['Chari, A.V.', 'Chari, V.V.', 'A. V. Chari']"
"Blomqvist, AG.",AG. Blomqvist,"['Blomqvist, AG.', 'Blomqvist, A.']"
AYDO&Gbreve;AN ALTI,AYDO&Gbreve;AN ALTI,['AYDO&Gbreve;AN ALTI']
"Kleijweg, Aad",Aad Kleijweg,"['Kleijweg, Aad']"
"van Tilburg, Aad",Aad van Tilburg,"['van Tilburg, Aad']"
Aaditya Mattoo,Aaditya Mattoo,"['Aaditya Mattoo', 'Mattoo, Aaditya']"
Aakash Mohpal,Aakash Mohpal,"['Aakash Mohpal', 'Mohpal, Aakash']"
"Sheikh, Aamer",Aamer Sheikh,"['Sheikh, Aamer']"
"Sheikh, Aamir M",Aamir M  Sheikh,"['Sheikh, Aamir M']"
Aamir Rafique Hashmi,Aamir Rafique Hashmi,['Aamir Rafique Hashmi']
"Hylland, Aanund",Aanund Hylland,"['Hylland, Aanund']"
"Bodoh-Creed, Aaron",Aaron Bodoh-Creed,"['Bodoh-Creed, Aaron']"
Aaron Chalfin,Aaron Chalfin,['Aaron Chalfin']
Aaron D. Smith,Aaron D. Smith,['Aaron D. Smith']
