original,uniformat,equivalent
"Estrada, Ricardo",Ricardo Estrada,"['Estrada, Ricardo']"
"Ffrench-Davis, Ricardo",Ricardo Ffrench-Davis,"['Ffrench-Davis, Ricardo']"
"Flores-Fillol, Ricardo",Ricardo Flores-Fillol,"['Flores-Fillol, Ricardo']"
"Gimeno, Ricardo",Ricardo Gimeno,"['Gimeno, Ricardo']"
"Godoy, Ricardo",Ricardo Godoy,"['Godoy, Ricardo']"
Ricardo Hausmann,Ricardo Hausmann,"['Ricardo Hausmann', 'Hausmann, Ricardo']"
"Rodriguez, Ricardo J",Ricardo J Rodriguez,"['Rodriguez, Ricardo J']"
"Caballero, Ricardo J.",Ricardo J. Caballero,"['Caballero, Ricardo J.', 'Caballero, Ricardo J', 'Ricardo J. Caballero', 'Ricardo J Caballero']"
Ricardo Lagos,Ricardo Lagos,"['Ricardo Lagos', 'Lagos, Ricardo']"
"Lopez Murphy, Ricardo",Ricardo Lopez Murphy,"['Lopez Murphy, Ricardo']"
Ricardo Martin,Ricardo Martin,"['Ricardo Martin', 'Martin, Ricardo']"
"Mora, Ricardo",Ricardo Mora,"['Mora, Ricardo']"
Ricardo Nunes,Ricardo Nunes,"['Ricardo Nunes', 'Nunes, Ricardo']"
"Leal, Ricardo P. C.",Ricardo P. C. Leal,"['Leal, Ricardo P. C.']"
"Paes de Barros, Ricardo",Ricardo Paes de Barros,"['Paes de Barros, Ricardo']"
Ricardo Perez-Truglia,Ricardo Perez-Truglia,"['Ricardo Perez-Truglia', 'Perez-Truglia, Ricardo']"
"Reis, Ricardo",Ricardo Reis,"['Reis, Ricardo', 'Ricardo Reis']"
"Sanz-Ferrer, Ricardo",Ricardo Sanz-Ferrer,"['Sanz-Ferrer, Ricardo']"
"Serrano-Padial, Ricardo",Ricardo Serrano-Padial,"['Serrano-Padial, Ricardo', 'Ricardo Serrano-Padial']"
Ricardo T. Fernholz,Ricardo T. Fernholz,['Ricardo T. Fernholz']
Ricardo de O. Cavalcanti,Ricardo de O. Cavalcanti,"['Ricardo de O. Cavalcanti', 'O. Cavalcanti, Ricardo de']"
Riccardo Calcagno,Riccardo Calcagno,"['Riccardo Calcagno', 'Calcagno, Riccardo']"
"Cesari, Riccardo",Riccardo Cesari,"['Cesari, Riccardo']"
"Colacito, Riccardo",Riccardo Colacito,"['Colacito, Riccardo', 'Riccardo Colacito']"
Riccardo Cristadoro,Riccardo Cristadoro,['Riccardo Cristadoro']
"DiCecio, Riccardo",Riccardo DiCecio,"['DiCecio, Riccardo', 'Riccardo DiCecio']"
"Faini, Riccardo",Riccardo Faini,"['Faini, Riccardo', 'Riccardo Faini']"
"Fiorito, Riccardo",Riccardo Fiorito,"['Fiorito, Riccardo']"
"Lucchetti, Riccardo",Riccardo Lucchetti,"['Lucchetti, Riccardo']"
"Puglisi, Riccardo",Riccardo Puglisi,"['Puglisi, Riccardo']"
"Rovelli, Riccardo",Riccardo Rovelli,"['Rovelli, Riccardo']"
Riccardo Trezzi,Riccardo Trezzi,['Riccardo Trezzi']
"Jones, Rich",Rich Jones,"['Jones, Rich']"
"Saraf, Richa",Richa Saraf,"['Saraf, Richa']"
"Roll, Richard",Richard  Roll,"['Roll, Richard', 'Richard Roll', 'Roll, Richard']"
"DeFusco, Richard A",Richard A  DeFusco,"['DeFusco, Richard A']"
"Ippolito, Richard A",Richard A  Ippolito,"['Ippolito, Richard A', 'Ippolito, Richard A', 'Ippolito, Richard A.', 'Richard A. Ippolito']"
"Ashley, Richard A",Richard A Ashley,"['Ashley, Richard A']"
"Cohn, Richard A",Richard A Cohn,"['Cohn, Richard A', 'Cohn, Richard A, et al']"
"Easterlin, Richard A",Richard A Easterlin,"['Easterlin, Richard A', 'Richard A. Easterlin']"
"Epstein, Richard A",Richard A Epstein,"['Epstein, Richard A']"
"Hofler, Richard A",Richard A Hofler,"['Hofler, Richard A']"
"Jacoby, Richard A",Richard A Jacoby,"['Jacoby, Richard A']"
"Kasten, Richard A",Richard A Kasten,"['Kasten, Richard A', 'Richard A. Kasten']"
"Lester, Richard A",Richard A Lester,"['Lester, Richard A', 'Richard A. Lester']"
"Miller, Richard A",Richard A Miller,"['Miller, Richard A']"
"Musgrave, Richard A",Richard A Musgrave,"['Musgrave, Richard A', 'Musgrave, Richard A.', 'Richard A. Musgrave']"
"Shick, Richard A",Richard A Shick,"['Shick, Richard A']"
"Stevenson, Richard A",Richard A Stevenson,"['Stevenson, Richard A']"
Richard A. Brealey,Richard A. Brealey,"['Richard A. Brealey', 'Brealey, Richard A', 'Brealey, Richard A.']"
Richard A. Brecher,Richard A. Brecher,"['Richard A. Brecher', 'Brecher, Richard A.', 'Brecher, Richard A']"
Richard A. Chamberlin,Richard A. Chamberlin,['Richard A. Chamberlin']
"Davis, Richard A.",Richard A. Davis,"['Davis, Richard A.', 'Richard M. Davis', 'Richard G. Davis']"
Richard A. Fry,Richard A. Fry,['Richard A. Fry']
"Highfield, Richard A.",Richard A. Highfield,"['Highfield, Richard A.']"
"Carter, Richard A. L.",Richard A. L. Carter,"['Carter, Richard A. L.']"
"Meese, Richard A.",Richard A. Meese,"['Meese, Richard A.', 'Meese, Richard A', 'Richard A. Meese', 'Meese, Richard A']"
Richard A. Oppedahl,Richard A. Oppedahl,['Richard A. Oppedahl']
Richard A. Posner,Richard A. Posner,"['Richard A. Posner', 'Posner, Richard A']"
"Wall, Richard A.",Richard A. Wall,"['Wall, Richard A.', 'Wall, Richard A']"
Richard A. Ward,Richard A. Ward,['Richard A. Ward']
Richard A. Zuber,Richard A. Zuber,"['Richard A. Zuber', 'Zuber, Richard A.', 'Zuber, Richard A']"
Richard Abel Musgrave,Richard Abel Musgrave,['Richard Abel Musgrave']
"Ablin, Richard",Richard Ablin,"['Ablin, Richard']"
Richard Akresh,Richard Akresh,"['Richard Akresh', 'Akresh, Richard']"
Richard Aldrich,Richard Aldrich,['Richard Aldrich']
"Anker, Richard",Richard Anker,"['Anker, Richard']"
"Arnott, Richard",Richard Arnott,"['Arnott, Richard', 'Richard Arnott']"
"Attiyeh, Richard",Richard Attiyeh,"['Attiyeh, Richard', 'Richard Attiyeh']"
"Carter, Richard B",Richard B  Carter,"['Carter, Richard B', 'Richard B. Carter']"
"Hansen, Richard B",Richard B Hansen,"['Hansen, Richard B']"
"Heflebower, Richard B",Richard B Heflebower,"['Heflebower, Richard B', 'Richard B. Heflebower']"
"Hoffman, Richard B",Richard B Hoffman,"['Hoffman, Richard B']"
"Howarth, Richard B",Richard B Howarth,"['Howarth, Richard B']"
"McKenzie, Richard B",Richard B McKenzie,"['McKenzie, Richard B']"
Richard B. Du Boff,Richard B. Du Boff,['Richard B. Du Boff']
Richard B. Evans,Richard B. Evans,"['Richard B. Evans', 'Evans, Richard B.']"
"Flavell, Richard B.",Richard B. Flavell,"['Flavell, Richard B.']"
Richard B. Freeman,Richard B. Freeman,"['Richard B. Freeman', 'Freeman, Richard B.']"
Richard B. Friedman,Richard B. Friedman,['Richard B. Friedman']
Richard B. Mancke,Richard B. Mancke,['Richard B. Mancke']
"Olsen, Richard B.",Richard B. Olsen,"['Olsen, Richard B.']"
"Tress, Richard B.",Richard B. Tress,"['Tress, Richard B.']"
"Westin, Richard B.",Richard B. Westin,"['Westin, Richard B.', 'Westin, Richard B']"
"Baldwin, Richard",Richard Baldwin,"['Baldwin, Richard', 'Richard Baldwin']"
Richard Bass,Richard Bass,['Richard Bass']
"Beason, Richard",Richard Beason,"['Beason, Richard']"
"Bennet, Richard",Richard Bennet,"['Bennet, Richard']"
"Berner, Richard",Richard Berner,"['Berner, Richard']"
"Blackhurst, Richard",Richard Blackhurst,"['Blackhurst, Richard']"
Richard Blandy,Richard Blandy,"['Richard Blandy', 'Blandy, Richard']"
"Blundell, Richard, et al",Richard Blundell,"['Blundell, Richard, et al', 'Richard Blundell', 'Blundell, Richard']"
"Bookstaber, Richard",Richard Bookstaber,"['Bookstaber, Richard']"
"Boyce, Richard",Richard Boyce,"['Boyce, Richard']"
"Bradley, Richard",Richard Bradley,"['Bradley, Richard']"
"Brealey, Richard",Richard Brealey,"['Brealey, Richard']"
"Brecher, Richard",Richard Brecher,"['Brecher, Richard']"
Richard Breen,Richard Breen,['Richard Breen']
"Brook, Richard",Richard Brook,"['Brook, Richard']"
Richard Brooks,Richard Brooks,['Richard Brooks']
"Green, Richard C",Richard C  Green,"['Green, Richard C', 'Richard C. Green', 'Green, Richard C', 'Green, Richard C.']"
"Stapleton, Richard C",Richard C  Stapleton,"['Stapleton, Richard C', 'Stapleton, Richard C.', 'Stapleton, Richard C']"
"Aspinwall, Richard C",Richard C Aspinwall,"['Aspinwall, Richard C']"
"Edwards, Richard C",Richard C Edwards,"['Edwards, Richard C']"
"Burdekin, Richard C K",Richard C K Burdekin,"['Burdekin, Richard C K', 'Burdekin, Richard C.K.', 'Richard C. K. Burdekin']"
"Lemmon, Richard C",Richard C Lemmon,"['Lemmon, Richard C']"
"Levin, Richard C",Richard C Levin,"['Levin, Richard C', 'Richard C. Levin']"
"Michel, Richard C",Richard C Michel,"['Michel, Richard C']"
"Porter, Richard C",Richard C Porter,"['Porter, Richard C', 'Porter, Richard C.']"
"Sutch, Richard C",Richard C Sutch,"['Sutch, Richard C']"
Richard C. Barnett,Richard C. Barnett,"['Richard C. Barnett', 'Barnett, Richard C.']"
"Bernett, Richard C.",Richard C. Bernett,"['Bernett, Richard C.']"
"Chiburis, Richard C.",Richard C. Chiburis,"['Chiburis, Richard C.']"
Richard C. Cornes,Richard C. Cornes,"['Richard C. Cornes', 'Cornes, Richard C', 'Cornes, Richard C.']"
Richard C. Grinold,Richard C. Grinold,['Richard C. Grinold']
Richard C. Hartman,Richard C. Hartman,['Richard C. Hartman']
Richard C. Leone,Richard C. Leone,['Richard C. Leone']
"Marston, Richard C.",Richard C. Marston,"['Marston, Richard C.', 'Marston, Richard C', 'Richard C. Marston']"
Richard C. Wiles,Richard C. Wiles,['Richard C. Wiles']
"Cantor, Richard",Richard Cantor,"['Cantor, Richard']"
"Carson, Richard",Richard Carson,"['Carson, Richard']"
"Castanias, Richard",Richard Castanias,"['Castanias, Richard']"
"Chisik, Richard",Richard Chisik,"['Chisik, Richard']"
Richard Clarida,Richard Clarida,"['Richard Clarida', 'Clarida, Richard']"
Richard Clayton,Richard Clayton,['Richard Clayton']
"Cohen, Richard",Richard Cohen,"['Cohen, Richard']"
"Cornes, Richard",Richard Cornes,"['Cornes, Richard', 'Richard Cornes']"
"Cothren, Richard",Richard Cothren,"['Cothren, Richard', 'Richard Cothren']"
"Craswell, Richard",Richard Craswell,"['Craswell, Richard']"
Richard Crump,Richard Crump,['Richard Crump']
"Haas, Richard D",Richard D Haas,"['Haas, Richard D']"
"Harper, Richard D",Richard D Harper,"['Harper, Richard D']"
"Mallon, Richard D",Richard D Mallon,"['Mallon, Richard D', 'Mallon, Richard D.']"
"Portes, Richard D",Richard D Portes,"['Portes, Richard D']"
"Richmond, Richard D",Richard D Richmond,"['Richmond, Richard D']"
"Rippe, Richard D",Richard D Rippe,"['Rippe, Richard D']"
"Sanders, Richard D",Richard D Sanders,"['Sanders, Richard D', 'Sanders, Richard D.']"
"Wolff, Richard D",Richard D Wolff,"['Wolff, Richard D']"
Richard D. Auster,Richard D. Auster,['Richard D. Auster']
"Emmerson, Richard D.",Richard D. Emmerson,"['Emmerson, Richard D.']"
"Harris, Richard D. F.",Richard D. F. Harris,"['Harris, Richard D. F.', 'Harris, Richard D F', 'Harris, Richard D.F.']"
"Green, Richard D.",Richard D. Green,"['Green, Richard D.', 'Richard C. Green', 'Green, Richard D', 'Green, Richard C.', 'Richard K. Green']"
"Holowczak, Richard D.",Richard D. Holowczak,"['Holowczak, Richard D.']"
Richard D. Horan,Richard D. Horan,['Richard D. Horan']
"Lambert, Richard D.",Richard D. Lambert,"['Lambert, Richard D.']"
Richard D. MacMinn,Richard D. MacMinn,"['Richard D. MacMinn', 'MacMinn, Richard D', 'MacMinn, Richard D.', 'MacMinn, Richard D']"
"McKelvey, Richard D.",Richard D. McKelvey,"['McKelvey, Richard D.', 'Richard D. McKelvey', 'McKelvey, Richard D']"
Richard D. Morgenstern,Richard D. Morgenstern,"['Richard D. Morgenstern', 'Morgenstern, Richard D']"
"Phillips, Richard D.",Richard D. Phillips,"['Phillips, Richard D.']"
Richard D. Porter,Richard D. Porter,"['Richard D. Porter', 'Porter, Richard D', 'Porter, Richard D.', 'Porter, Richard C.']"
Richard Dalla Volta,Richard Dalla Volta,['Richard Dalla Volta']
"Deaves, Richard",Richard Deaves,"['Deaves, Richard']"
"Dennis, Richard",Richard Dennis,"['Dennis, Richard']"
Richard Dickens,Richard Dickens,"['Richard Dickens', 'Dickens, Richard']"
"Disney, Richard",Richard Disney,"['Disney, Richard', 'Richard Disney']"
"Dusansky, Richard",Richard Dusansky,"['Dusansky, Richard', 'Richard Dusansky']"
"Attiyeh, Richard E",Richard E Attiyeh,"['Attiyeh, Richard E']"
"Bond, Richard E",Richard E Bond,"['Bond, Richard E']"
"Caves, Richard E",Richard E Caves,"['Caves, Richard E', 'Richard E. Caves', 'Caves, Richard E.']"
"Kihlstrom, Richard E",Richard E Kihlstrom,"['Kihlstrom, Richard E', 'Kihlstrom, Richard E.', 'Richard E. Kihlstrom']"
"Peterson, Richard E",Richard E Peterson,"['Peterson, Richard E']"
"Romano, Richard E",Richard E Romano,"['Romano, Richard E', 'Richard E. Romano', 'Romano, Richard E.']"
"Slitor, Richard E",Richard E Slitor,"['Slitor, Richard E', 'Richard E. Slitor']"
"Stehle, Richard E",Richard E Stehle,"['Stehle, Richard E', 'Stehle, Richard E.']"
"Wagner, Richard E",Richard E Wagner,"['Wagner, Richard E', 'Wagner, Richard E.']"
"Wendell, Richard E",Richard E Wendell,"['Wendell, Richard E']"
"Baldwin, Richard E.",Richard E. Baldwin,"['Baldwin, Richard E.', 'Baldwin, Richard E', 'Richard E. Baldwin']"
"Ericson, Richard E.",Richard E. Ericson,"['Ericson, Richard E.', 'Ericson, Richard E', 'Richard E. Ericson']"
"Feinberg, Richard E.",Richard E. Feinberg,"['Feinberg, Richard E.']"
Richard E. Just,Richard E. Just,"['Richard E. Just', 'Just, Richard E.', 'Just, Richard E']"
Richard E. Levitan,Richard E. Levitan,['Richard E. Levitan']
Richard E. Lucas,Richard E. Lucas,['Richard E. Lucas']
Richard E. Mueller,Richard E. Mueller,['Richard E. Mueller']
"Olson, Richard E.",Richard E. Olson,"['Olson, Richard E.']"
"Quandt, Richard E.",Richard E. Quandt,"['Quandt, Richard E.', 'Richard E. Quandt', 'Quandt, Richard E']"
"Schuler, Richard E.",Richard E. Schuler,"['Schuler, Richard E.', 'Schuler, Richard E']"
Richard E. Towey,Richard E. Towey,"['Richard E. Towey', 'Towey, Richard E']"
"Baldwin, Richard Edward",Richard Edward Baldwin,"['Baldwin, Richard Edward']"
"Edwards, Richard",Richard Edwards,"['Edwards, Richard']"
Richard Engelbrecht-Wiggans,Richard Engelbrecht-Wiggans,['Richard Engelbrecht-Wiggans']
"Ericson, Richard",Richard Ericson,"['Ericson, Richard', 'Richard Ericson']"
Richard Evans,Richard Evans,['Richard Evans']
"Fullenbaum, Richard F",Richard F Fullenbaum,"['Fullenbaum, Richard F']"
"Janssen, Richard F",Richard F Janssen,"['Janssen, Richard F']"
"Kaufman, Richard F",Richard F Kaufman,"['Kaufman, Richard F']"
"Kosobud, Richard F",Richard F Kosobud,"['Kosobud, Richard F']"
"Muth, Richard F",Richard F Muth,"['Muth, Richard F', 'Richard F. Muth']"
"Syron, Richard F",Richard F Syron,"['Syron, Richard F']"
"Wacht, Richard F",Richard F Wacht,"['Wacht, Richard F']"
"Kahn, Richard F [Lord]",Richard F [Lord] Kahn,"['Kahn, Richard F [Lord]']"
"Dye, Richard F.",Richard F. Dye,"['Dye, Richard F.']"
"Hartl, Richard F.",Richard F. Hartl,"['Hartl, Richard F.']"
"Meyer, Richard F.",Richard F. Meyer,"['Meyer, Richard F.', 'Meyer, Richard L.']"
Richard F. Ruggles,Richard F. Ruggles,['Richard F. Ruggles']
"Fabling, Richard",Richard Fabling,"['Fabling, Richard']"
"Fink, Richard",Richard Fink,"['Fink, Richard']"
"Fowles, Richard",Richard Fowles,"['Fowles, Richard']"
Richard Freeman,Richard Freeman,"['Richard Freeman', 'Freeman, Richard']"
"Frensch, Richard",Richard Frensch,"['Frensch, Richard']"
"Friberg, Richard",Richard Friberg,"['Friberg, Richard', 'Richard Friberg']"
"Froyen, Richard",Richard Froyen,"['Froyen, Richard']"
"Fu, Richard",Richard Fu,"['Fu, Richard']"
"Funkhouser, Richard",Richard Funkhouser,"['Funkhouser, Richard']"
"Davis, Richard G",Richard G Davis,"['Davis, Richard G']"
"Lipsey, Richard G",Richard G Lipsey,"['Lipsey, Richard G', 'Richard G. Lipsey']"
"Macris, Richard G",Richard G Macris,"['Macris, Richard G']"
"Marcis, Richard G",Richard G Marcis,"['Marcis, Richard G']"
"Pierse, Richard G",Richard G Pierse,"['Pierse, Richard G']"
"Richels, Richard G",Richard G Richels,"['Richels, Richard G']"
"Zind, Richard G",Richard G Zind,"['Zind, Richard G']"
Richard G. Anderson,Richard G. Anderson,"['Richard G. Anderson', 'Richard K. Anderson', 'Anderson, Richard K.', 'Anderson, Richard G.', 'Anderson, Richard G']"
"Frank, Richard G.",Richard G. Frank,"['Frank, Richard G.', 'Frank, Richard G', 'Richard G. Frank']"
"Harris, Richard G.",Richard G. Harris,"['Harris, Richard G.', 'Harris, Richard G']"
Richard G. Newell,Richard G. Newell,['Richard G. Newell']
"Niemi, Richard G.",Richard G. Niemi,"['Niemi, Richard G.']"
"Sheehan, Richard G.",Richard G. Sheehan,"['Sheehan, Richard G.', 'Sheehan, Richard G']"
"Sloan, Richard G.",Richard G. Sloan,"['Sloan, Richard G.', 'Sloan, Richard G']"
Richard G. Walsh,Richard G. Walsh,['Richard G. Walsh']
"Gift, Richard",Richard Gift,"['Gift, Richard']"
"Gilbert, Richard",Richard Gilbert,"['Gilbert, Richard', 'Richard Gilbert']"
Richard Goode,Richard Goode,"['Richard Goode', 'Goode, Richard']"
"Grabowski, Richard",Richard Grabowski,"['Grabowski, Richard']"
"Green, Richard",Richard Green,"['Green, Richard', 'Richard Green']"
"Grinold, Richard",Richard Grinold,"['Grinold, Richard']"
"Pettway, Richard H",Richard H  Pettway,"['Pettway, Richard H', 'Pettway, Richard H', 'Pettway, Richard H.']"
"Holton, Richard H",Richard H Holton,"['Holton, Richard H', 'Richard H. Holton']"
"Keehn, Richard H",Richard H Keehn,"['Keehn, Richard H']"
"Megna, Richard H",Richard H Megna,"['Megna, Richard H']"
"Snape, Richard H",Richard H Snape,"['Snape, Richard H']"
"Spady, Richard H",Richard H Spady,"['Spady, Richard H', 'Richard H. Spady']"
"Timberlake, Richard H, Jr",Richard H Timberlake,"['Timberlake, Richard H, Jr', 'Richard H. Timberlake', 'Timberlake, Richard H.']"
Richard H. Clarida,Richard H. Clarida,"['Richard H. Clarida', 'Clarida, Richard H.', 'Clarida, Richard H', 'Clarida, Richard H']"
Richard H. Cohen,Richard H. Cohen,['Richard H. Cohen']
Richard H. Courtney,Richard H. Courtney,['Richard H. Courtney']
"Day, Richard H.",Richard H. Day,"['Day, Richard H.', 'Day, Richard H, et al', 'Richard H. Day', 'Day, Richard H']"
"Fosberg, Richard H.",Richard H. Fosberg,"['Fosberg, Richard H.']"
"Harjes, Richard H.",Richard H. Harjes,"['Harjes, Richard H.']"
"Jefferis, Richard H.",Richard H. Jefferis,"['Jefferis, Richard H.']"
"Emmerink, Richard H. M.",Richard H. M. Emmerink,"['Emmerink, Richard H. M.']"
Richard H. Moorsteen,Richard H. Moorsteen,['Richard H. Moorsteen']
"Puckett, Richard H.",Richard H. Puckett,"['Puckett, Richard H.', 'Puckett, Richard H', 'Richard H. Puckett']"
"Sabot, Richard H.",Richard H. Sabot,"['Sabot, Richard H.']"
Richard H. Steckel,Richard H. Steckel,"['Richard H. Steckel', 'Steckel, Richard H']"
Richard H. Thaler,Richard H. Thaler,"['Richard H. Thaler', 'Thaler, Richard H']"
Richard H. Timberlake Jr.,Richard H. Timberlake Jr.,['Richard H. Timberlake Jr.']
"Willis, Richard H.",Richard H. Willis,"['Willis, Richard H.']"
"Harriff, Richard",Richard Harriff,"['Harriff, Richard']"
"Harris, Richard",Richard Harris,"['Harris, Richard', 'Richard Harris']"
"Harrison, Richard",Richard Harrison,"['Harrison, Richard']"
Richard Hartman,Richard Hartman,"['Richard Hartman', 'Hartman, Richard']"
"Hauser, Richard",Richard Hauser,"['Hauser, Richard']"
Richard Hemming,Richard Hemming,"['Richard Hemming', 'Hemming, Richard']"
"Herring, Richard",Richard Herring,"['Herring, Richard']"
Richard Holden,Richard Holden,"['Richard Holden', 'Holden, Richard']"
Richard Horan,Richard Horan,['Richard Horan']
Richard Hornbeck,Richard Hornbeck,['Richard Hornbeck']
"Hyse, Richard",Richard Hyse,"['Hyse, Richard']"
"Harris, Richard I D",Richard I D Harris,"['Harris, Richard I D']"
"Smith, Richard II",Richard II Smith,"['Smith, Richard II']"
"Inman, Richard",Richard Inman,"['Inman, Richard']"
"Rogalski, Richard J",Richard J  Rogalski,"['Rogalski, Richard J', 'Rogalski, Richard J.', 'Rogalski, Richard J']"
"Arnott, Richard J",Richard J Arnott,"['Arnott, Richard J', 'Richard J. Arnott', 'Arnott, Richard J.']"
"Arnould, Richard J",Richard J Arnould,"['Arnould, Richard J']"
"Green, Richard J",Richard J Green,"['Green, Richard J', 'Green, Richard D', 'Green, Richard C']"
"Kent, Richard J",Richard J Kent,"['Kent, Richard J']"
"McDonald, Richard J",Richard J McDonald,"['McDonald, Richard J']"
"Sexton, Richard J",Richard J Sexton,"['Sexton, Richard J', 'Sexton, Richard J.']"
Richard J Smith,Richard J Smith,"['Richard J Smith', 'Richard J. Smith', 'Smith, Richard J.', 'Smith, Richard L', 'Smith, Richard J']"
"Brook, Richard J.",Richard J. Brook,"['Brook, Richard J.']"
Richard J. Butler,Richard J. Butler,"['Richard J. Butler', 'Butler, Richard J, et al', 'Butler, Richard J.', 'Butler, Richard J']"
Richard J. Cebula,Richard J. Cebula,['Richard J. Cebula']
Richard J. Gilbert,Richard J. Gilbert,"['Richard J. Gilbert', 'Gilbert, Richard J.', 'Gilbert, Richard J']"
"Herring, Richard J.",Richard J. Herring,"['Herring, Richard J.', 'Herring, Richard J', 'Herring, Richard J']"
Richard J. Herrnstein,Richard J. Herrnstein,['Richard J. Herrnstein']
"Kish, Richard J.",Richard J. Kish,"['Kish, Richard J.']"
Richard J. Kruizenga,Richard J. Kruizenga,['Richard J. Kruizenga']
Richard J. Murnane,Richard J. Murnane,"['Richard J. Murnane', 'Murnane, Richard J.', 'Murnane, Richard J']"
"Rosen, Richard J.",Richard J. Rosen,"['Rosen, Richard J.', 'Richard J. Rosen']"
"Sullivan, Richard J.",Richard J. Sullivan,"['Sullivan, Richard J.']"
"Sweeney, Richard J.",Richard J. Sweeney,"['Sweeney, Richard J.', 'Sweeney, Richard J', 'Sweeney, Richard J']"
"Taffler, Richard J.",Richard J. Taffler,"['Taffler, Richard J.']"
Richard J. Zeckhauser,Richard J. Zeckhauser,"['Richard J. Zeckhauser', 'Zeckhauser, Richard J', 'Zeckhauser, Richard J.']"
"Jackman, Richard",Richard Jackman,"['Jackman, Richard']"
"Sweeney, Richard James",Richard James Sweeney,"['Sweeney, Richard James']"
Richard Jensen,Richard Jensen,"['Richard Jensen', 'Jensen, Richard']"
"Jong-A-Pin, Richard",Richard Jong-A-Pin,"['Jong-A-Pin, Richard']"
"Devens, Richard Jr.",Richard Jr. Devens,"['Devens, Richard Jr.']"
"Rendleman, Richard Jr.",Richard Jr. Rendleman,"['Rendleman, Richard Jr.', 'Rendleman, Richard J, Jr']"
"Robb, Richard Jr.",Richard Jr. Robb,"['Robb, Richard Jr.']"
"Timberlake, Richard Jr.",Richard Jr. Timberlake,"['Timberlake, Richard Jr.', 'Timberlake, Richard H.']"
"Just, Richard",Richard Just,"['Just, Richard']"
"Anderson, Richard K",Richard K Anderson,"['Anderson, Richard K', 'Anderson, Richard G']"
"Crump, Richard K.",Richard K. Crump,"['Crump, Richard K.', 'Richard K. Crump']"
Richard K. Lyons,Richard K. Lyons,"['Richard K. Lyons', 'Lyons, Richard K', 'Lyons, Richard K.', 'Lyons, Richard K']"
"Mansfield, Richard K.",Richard K. Mansfield,"['Mansfield, Richard K.', 'Richard K. Mansfield']"
"Perrin, Richard K.",Richard K. Perrin,"['Perrin, Richard K.', 'Perrin, Richard K']"
"Kahn, Richard",Richard Kahn,"['Kahn, Richard']"
"Kasten, Richard",Richard Kasten,"['Kasten, Richard']"
"Kihlstrom, Richard",Richard Kihlstrom,"['Kihlstrom, Richard']"
"Kneller, Richard",Richard Kneller,"['Kneller, Richard', 'Richard Kneller']"
"Kolodny, Richard",Richard Kolodny,"['Kolodny, Richard']"
"Peterson, Richard L",Richard L  Peterson,"['Peterson, Richard L', 'Peterson, Richard L', 'Richard L. Peterson']"
"Le Compte, Richard L B",Richard L B  Le Compte,"['Le Compte, Richard L B']"
"Kaluzny, Richard L",Richard L Kaluzny,"['Kaluzny, Richard L']"
"Meyer, Richard L",Richard L Meyer,"['Meyer, Richard L', 'Meyer, Richard L.']"
"Norgaard, Richard L",Richard L Norgaard,"['Norgaard, Richard L', 'Norgaard, Richard B']"
"Pollock, Richard L",Richard L Pollock,"['Pollock, Richard L']"
"Solomon, Richard L",Richard L Solomon,"['Solomon, Richard L']"
"Sprinkle, Richard L",Richard L Sprinkle,"['Sprinkle, Richard L']"
"Stroup, Richard L",Richard L Stroup,"['Stroup, Richard L']"
"LeCompte, Richard L. B.",Richard L. B. LeCompte,"['LeCompte, Richard L. B.']"
Richard L. Bolster,Richard L. Bolster,['Richard L. Bolster']
Richard L. Brady,Richard L. Brady,['Richard L. Brady']
Richard L. Fullerton,Richard L. Fullerton,['Richard L. Fullerton']
Richard L. Gordon,Richard L. Gordon,['Richard L. Gordon']
"Harrington, Richard L.",Richard L. Harrington,"['Harrington, Richard L.']"
"Johnson, Richard L.",Richard L. Johnson,"['Johnson, Richard L.']"
Richard L. Morton,Richard L. Morton,['Richard L. Morton']
Richard L. Pfister,Richard L. Pfister,['Richard L. Pfister']
Richard L. Shockley,Richard L. Shockley,['Richard L. Shockley']
Richard L. Smith,Richard L. Smith,"['Richard L. Smith', 'Smith, Richard L', 'Smith, Richard L', 'Smith, Richard L.']"
Richard Layard,Richard Layard,"['Richard Layard', 'Layard, Richard']"
Richard Lecomber,Richard Lecomber,"['Richard Lecomber', 'Lecomber, Richard']"
"Leftwich, Richard",Richard Leftwich,"['Leftwich, Richard']"
"Levitan, Richard",Richard Levitan,"['Levitan, Richard']"
Richard Lewis,Richard Lewis,['Richard Lewis']
"Lord, Richard",Richard Lord,"['Lord, Richard']"
Richard Lowery,Richard Lowery,['Richard Lowery']
"Luger, Richard",Richard Luger,"['Luger, Richard']"
"Luton, Richard",Richard Luton,"['Luton, Richard']"
"Friedman, Richard M",Richard M  Friedman,"['Friedman, Richard M']"
"Adams, Richard M",Richard M Adams,"['Adams, Richard M']"
"Alston, Richard M",Richard M Alston,"['Alston, Richard M']"
"Bird, Richard M",Richard M Bird,"['Bird, Richard M']"
"Levich, Richard M",Richard M Levich,"['Levich, Richard M', 'Levich, Richard M.']"
"Simon, Richard M",Richard M Simon,"['Simon, Richard M']"
"Thornton, Richard M",Richard M Thornton,"['Thornton, Richard M']"
"Young, Richard M",Richard M Young,"['Young, Richard M', 'Young, Richard M.']"
Richard M. Alt,Richard M. Alt,['Richard M. Alt']
"Auty, Richard M.",Richard M. Auty,"['Auty, Richard M.']"
